county,value,covid
Alameda,76,22164
Alpine,50,53
Amador,66,26138
Butte,64,21365
Calaveras,62,13451
Colusa,50,41069
Contra Costa,81,25274
Del Norte,50,17063
El Dorado,65,18100
Fresno,57,43971
Glenn,43,38574
Humboldt,57,8437
Imperial,54,98273
Inyo,41,18021
Kern,59,54475
Kings,50,82824
Lake,50,16946
Lassen,66,83509
Los Angeles,72,47169
Madera,53,46526
Marin,82,32133
Mariposa,41,9070
Mendocino,39,20742
Merced,47,53294
Modoc,50,128
Mono,47,41233
Monterey,63,42062
Napa,71,27041
Nevada,70,18365
Orange,81,30373
Placer,76,22885
Plumas,66,12952
Riverside,75,46089
Sacramento,72,31117
San Benito,62,39485
San Bernardino,68,52749
San Diego,80,30416
San Francisco,75,17223
San Joaquin,60,39872
San Luis Obispo,70,25610
San Mateo,81,22512
Santa Barbara,56,29287
Santa Clara,79,22834
Santa Cruz,69,19584
Shasta,61,34060
Sierra,54,18
Siskiyou,40,19121
Solano,75,28705
Sonoma,71,28106
Stanislaus,62,51346
Sutter,62,46724
Tehama,44,31918
Trinity,50,14210
Tulare,44,52670
Tuolumne,50,24039
Ventura,79,28221
Yolo,68,27463
Yuba,50,36512
