county,value
Alameda,101,744
Alpine,55,384
Amador,58,515
Butte,50,945
Calaveras,62,984
Colusa,57,249
Contra Costa,101,463
Del Norte,48,518
El Dorado,81,869
Fresno,52,318
Glenn,47,365
Humboldt,49,471
Imperial,46,633
Inyo,53,793
Kern,51,586
Kings,58,255
Lake,45,086
Lassen,57,705
Los Angeles,67,986
Madera,53,632
Marin,122,933
Mariposa,51,402
Mendocino,51,386
Merced,56,169
Modoc,45,227
Mono,66,499
Monterey,69,665
Napa,85,624
Nevada,66,681
Orange,89,373
Placer,89,175
Plumas,55,079
Riverside,66,793
Sacramento,69,475
San Benito,80,063
San Bernardino,63,310
San Diego,78,777
San Francisco,110,601
San Joaquin,63,567
San Luis Obispo,70,626
San Mateo,122,930
Santa Barbara,75,646
Santa Clara,125,933
Santa Cruz,84,213
Shasta,53,908
Sierra,52,308
Siskiyou,47,560
Solano,82,808
Sonoma,81,002
Stanislaus,59,616
Sutter,57,879
Tehama,47,572
Trinity,40,680
Tulare,48,763
Tuolumne,56,500
Ventura,84,170
Yolo,67,804
Yuba,47,504
